31-03-2026 19:54:45 | DELETE | cafeteria-api/produtos/2
31-03-2026 19:54:45 | GET | cafeteria-api/produtos
31-03-2026 19:54:46 | GET | cafeteria-api/categorias
31-03-2026 19:54:47 | GET | cafeteria-api/categorias
31-03-2026 19:54:47 | GET | cafeteria-api/categorias
31-03-2026 19:54:52 | GET | cafeteria-api/produtos
31-03-2026 19:57:05 | GET | cafeteria-api/produtos
31-03-2026 20:00:08 | GET | cafeteria-api/produtos
31-03-2026 20:00:08 | GET | cafeteria-api/produtos
31-03-2026 20:00:11 | GET | cafeteria-api/categorias
31-03-2026 20:00:22 | POST | cafeteria-api/categorias
31-03-2026 20:00:22 | GET | cafeteria-api/categorias
31-03-2026 20:00:25 | OPTIONS | cafeteria-api/categorias/3
31-03-2026 20:00:25 | DELETE | cafeteria-api/categorias/3
31-03-2026 20:00:25 | GET | cafeteria-api/categorias
31-03-2026 20:00:26 | GET | cafeteria-api/produtos
31-03-2026 20:00:33 | POST | cafeteria-api/produtos
31-03-2026 20:00:33 | GET | cafeteria-api/produtos
31-03-2026 20:02:42 | GET | cafeteria-api/categorias
31-03-2026 20:02:44 | GET | cafeteria-api/produtos
31-03-2026 20:02:46 | GET | cafeteria-api/produtos
31-03-2026 20:02:46 | GET | cafeteria-api/categorias
31-03-2026 20:05:14 | GET | cafeteria-api/categorias
31-03-2026 20:05:14 | GET | cafeteria-api/categorias
31-03-2026 20:05:18 | GET | cafeteria-api/produtos
31-03-2026 20:05:22 | POST | cafeteria-api/produtos
31-03-2026 20:05:22 | GET | cafeteria-api/produtos
31-03-2026 20:06:57 | GET | cafeteria-api/produtos
31-03-2026 20:06:57 | GET | cafeteria-api/categorias
31-03-2026 20:06:57 | GET | cafeteria-api/produtos
31-03-2026 20:07:00 | GET | cafeteria-api/produtos
31-03-2026 20:07:00 | GET | cafeteria-api/categorias
31-03-2026 20:07:00 | GET | cafeteria-api/produtos
31-03-2026 20:07:05 | GET | cafeteria-api/produtos
s
31-03-2026 20:07:05 | GET | cafeteria-api/produtos
31-03-2026 20:07:06 | GET | cafeteria-api/categorias
31-03-2026 20:07:12 | POST | cafeteria-api/categorias
31-03-2026 20:07:12 | GET | cafeteria-api/categorias
31-03-2026 20:07:14 | GET | cafeteria-api/produtos
31-03-2026 20:07:14 | GET | cafeteria-api/categorias
31-03-2026 20:07:15 | GET | cafeteria-api/produtos
31-03-2026 20:07:34 | POST | cafeteria-api/produtos
31-03-2026 20:07:34 | GET | cafeteria-api/produtos
31-03-2026 20:08:52 | GET | cafeteria-api/categorias
31-03-2026 20:08:52 | GET | cafeteria-api/categorias
31-03-2026 20:08:55 | GET | cafeteria-api/produtos
s
31-03-2026 20:08:56 | GET | cafeteria-api/categorias
31-03-2026 20:08:56 | GET | cafeteria-api/categorias
31-03-2026 20:08:58 | OPTIONS | cafeteria-api/produtos/4
31-03-2026 20:08:58 | DELETE | cafeteria-api/produtos/4
31-03-2026 20:08:58 | GET | cafeteria-api/produtos
31-03-2026 20:09:10 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:09:10 | POST | cafeteria-api/produtos
31-03-2026 20:09:10 | GET | cafeteria-api/produtos
31-03-2026 20:10:19 | GET | cafeteria-api/categorias
31-03-2026 20:10:26 | POST | cafeteria-api/categorias
31-03-2026 20:10:26 | GET | cafeteria-api/categorias
31-03-2026 20:10:28 | GET | cafeteria-api/produtos
31-03-2026 20:10:28 | GET | cafeteria-api/categorias
31-03-2026 20:10:38 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:10:38 | POST | cafeteria-api/produtos
31-03-2026 20:10:38 | GET | cafeteria-api/produtos
31-03-2026 20:14:02 | GET | cafeteria-api/categorias
31-03-2026 20:14:02 | GET | cafeteria-api/categorias
31-03-2026 20:14:02 | GET | cafeteria-api/produtos
31-03-2026 20:14:02 | GET | cafeteria-api/produtos
31-03-2026 20:14:02 | GET | cafeteria-api/categorias
31-03-2026 20:14:03 | GET | cafeteria-api/produtos
31-03-2026 20:14:03 | GET | cafeteria-api/categorias
31-03-2026 20:14:03 | GET | cafeteria-api/produtos
31-03-2026 20:14:03 | GET | cafeteria-api/categorias
31-03-2026 20:14:03 | GET | cafeteria-api/categorias
31-03-2026 20:14:04 | OPTIONS | cafeteria-api/produtos/6
31-03-2026 20:14:04 | DELETE | cafeteria-api/produtos/6
31-03-2026 20:14:04 | GET | cafeteria-api/produtos
31-03-2026 20:14:05 | OPTIONS | cafeteria-api/produtos/5
31-03-2026 20:14:05 | DELETE | cafeteria-api/produtos/5
31-03-2026 20:14:05 | GET | cafeteria-api/produtos
31-03-2026 20:14:13 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:14:13 | POST | cafeteria-api/produtos
31-03-2026 20:14:13 | GET | cafeteria-api/produtos
31-03-2026 20:14:23 | GET | cafeteria-api/categorias
31-03-2026 20:14:23 | GET | cafeteria-api/produtos
s
31-03-2026 20:14:33 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:14:33 | POST | cafeteria-api/produtos
31-03-2026 20:14:33 | GET | cafeteria-api/produtos
31-03-2026 20:16:32 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:16:32 | POST | cafeteria-api/produtos
31-03-2026 20:16:32 | GET | cafeteria-api/produtos
31-03-2026 20:16:54 | OPTIONS | cafeteria-api/produtos/3
31-03-2026 20:16:54 | DELETE | cafeteria-api/produtos/3
31-03-2026 20:16:54 | GET | cafeteria-api/produtos
31-03-2026 20:16:55 | OPTIONS | cafeteria-api/produtos/7
31-03-2026 20:16:55 | DELETE | cafeteria-api/produtos/7
31-03-2026 20:16:55 | GET | cafeteria-api/produtos
